##### Intel Schematic Connectivity Format DG-2012.100
BEGIN_COMPPROPS
###### RefDes:partName,partNumber,noMount,tolerance,value,maxV[voltage],powerDiss[wattage],maxP[wattage],elec_type,enetNonSeries,componentKind,power_supply,compComment
C161:A5E00374261,,,,10u,,,,,,103,,
C162:A5E41782197,,,,100n,,,,,,103,,
C163:A5E41782197,,,,100n,,,,,,103,,
C164:A5E00818233,,,,100n,,,,,,103,,
C165:A5E00818233,,,,100n,,,,,,103,,
C166:A5E00374261,,,,10u,,,,,,103,,
C167:A5E00818233,,,,100n,,,,,,103,,
C168:A5E00818233,,,,100n,,,,,,103,,
C169:A5E00374261,,,,10u,,,,,,103,,
C170:A5E33119283,,,,4u7,,,,,,103,,
C171:A5E33119283,,,,4u7,,,,,,103,,
C172:A5E02477164,,,,1u,,,,,,103,,
C173:A5E00818233,,,,100n,,,,,,103,,
C174:A5E33119281,,,,22u,,,,,,103,,
C175:A5E00818233,,,,100n,,,,,,103,,
C176:A5E00818233,,,,100n,,,,,,103,,
C177:A5E00818233,,,,100n,,,,,,103,,
C178:A5E00374261,,,,10u,,,,,,103,,
C179:A5E00088450,,,,1n,,,,,,103,,
C180:A5E00088449,,,,100p,,,,,,103,,
C500:A5E02477164,,,,1u,,,,,,103,,
C502:A5E02477164,,,,1u,,,,,,103,,
C503:A5E02477164,,,,1u,,,,,,103,,
C504:A5E02477164,,,,1u,,,,,,103,,
C505:A5E02477164,,,,1u,,,,,,103,,
C506:A5E02477164,,,,1u,,,,,,103,,
C507:A5E02477164,,,,1u,,,,,,103,,
C509:A5E00374261,,,,10u,,,,,,103,,
C510:A5E00374261,,,,10u,,,,,,103,,
C511:A5E02477164,,,,1u,,,,,,103,,
C512:A5E02477164,,,,1u,,,,,,103,,
C513:A5E02477164,,,,1u,,,,,,103,,
C514:A5E02477164,,,,1u,,,,,,103,,
C515:A5E02477164,,,,1u,,,,,,103,,
C516:A5E02477164,,,,1u,,,,,,103,,
C517:A5E02477164,,,,1u,,,,,,103,,
C518:A5E02477164,,,,1u,,,,,,103,,
C519:A5E02477164,,,,1u,,,,,,103,,
C520:A5E02477164,,,,1u,,,,,,103,,
C521:A5E00374261,,,,10u,,,,,,103,,
C522:A5E02477164,,,,1u,,,,,,103,,
C523:A5E02477164,,,,1u,,,,,,103,,
C524:A5E02477164,,,,1u,,,,,,103,,
C525:A5E02477164,,,,1u,,,,,,103,,
C526:A5E02477164,,,,1u,,,,,,103,,
C527:A5E02477164,,,,1u,,,,,,103,,
C528:A5E00374261,,,,10u,,,,,,103,,
C529:A5E02477164,,,,1u,,,,,,103,,
C530:A5E02477164,,,,1u,,,,,,103,,
C531:A5E02477164,,,,1u,,,,,,103,,
C532:A5E02477164,,,,1u,,,,,,103,,
C533:A5E02477164,,,,1u,,,,,,103,,
C534:A5E33119281,,,,22u,,,,,,103,,
C535:A5E02477164,,,,1u,,,,,,103,,
C536:A5E02477164,,,,1u,,,,,,103,,
C537:A5E02477164,,,,1u,,,,,,103,,
C538:A5E02477164,,,,1u,,,,,,103,,
C539:A5E02477164,,,,1u,,,,,,103,,
C540:A5E02477164,,,,1u,,,,,,103,,
C707:A5E02477164,,,,1u,,,,,,103,,
C709:A5E00818233,,,,100n,,,,,,103,,
C710:A5E02477164,,,,1u,,,,,,103,,
C711:A5E02477164,,,,1u,,,,,,103,,
C1100:A5E00257456,,,,10n,,,,,,103,,
C1101:A5E00257456,,,,10n,,,,,,103,,
C1102:A5E00257456,,,,10n,,,,,,103,,
C1103:A5E00257456,,,,10n,,,,,,103,,
C1104:A5E00257456,,,,10n,,,,,,103,,
C1105:A5E00257456,,,,10n,,,,,,103,,
C1106:A5E00257456,,,,10n,,,,,,103,,
C1107:A5E00257456,,,,10n,,,,,,103,,
C1108:A5E30311691,,,,1n,,,,,,103,,
C1109:A5E30311691,,,,1n,,,,,,103,,
C1110:A5E30311691,,,,1n,,,,,,103,,
C1111:A5E30311691,,,,1n,,,,,,103,,
C1112:A5E30311691,,,,1n,,,,,,103,,
C1113:A5E30311691,,,,1n,,,,,,103,,
C1114:A5E30311691,,,,1n,,,,,,103,,
C1115:A5E30311691,,,,1n,,,,,,103,,
C1116:A5E30311691,,,,1n,,,,,,103,,
C1201:A5E00818233,,,,100n,,,,,,103,,
C1202:A5E00818233,,,,100n,,,,,,103,,
C1203:A5E02477164,,,,1u,,,,,,103,,
C1315:A5E02477164,,,,1u,,,,,,103,,
C1316:A5E41782197,,,,100n,,,,,,103,,
C1317:A5E02477164,,,,1u,,,,,,103,,
C1318:A5E41782197,,,,100n,,,,,,103,,
C1319:A5E00152146,,,,3n3,,,,,,103,,
C1320:A5E00152146,,,,3n3,,,,,,103,,
C1321:A5E00152146,,,,3n3,,,,,,103,,
C1322:A5E00152146,,,,3n3,,,,,,103,,
C1323:A5E41782197,,,,100n,,,,,,103,,
C1400:A5E00818233,,,,100n,,,,,,103,,
C1401:A5E00118263,,,,22p,,,,,,103,,
C1402:A5E00118263,,,,22p,,,,,,103,,
C1601:A5E00818233,,,,100n,,,,,,103,,
C1602:A5E00818233,,,,100n,,,,,,103,,
